headline,url,time,summary,tags
监督故事丨拖欠多年的补助金追回来了,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9022958.shtml,2025-05-23 07:15:00,不久前，张掖市临泽县板桥镇友好村六社原村民任某某终于收到了被拖欠将近6年的2万余元空置房拆除和宅基地复垦补助。此前，任某某向板桥镇纪委反映...,
特写 | 村里来了巡视组,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9022791.shtml,2025-05-23 07:14:00,“那天我就是在这儿打完水，回去路上遇到的巡视组同志。”近日，在北京市门头沟区王平镇南港村供水管网施工现场，村民石宏德指着深逾两米的管沟回忆说。,巡察
查改治贯通推动黑臭水体问题整改,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9022690.shtml,2025-05-23 07:13:00,广西壮族自治区恭城瑶族自治县纪委监委将水质提升纳入政治监督重要内容，聚焦主体责任落实、职能部门履职、干部工作作风等方面，综合运用下沉监督、联合督查、约谈提醒...,"桂林市,漓江,广西壮族自治区"
遵义：强化生态环保领域政治监督 推动生态优势转化为发展优势,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9028651.shtml,2025-05-23 07:11:00,春夏时节，遵义市汇川区板桥镇长田村吸引不少游客前来踏青、郊游，青瓦白墙的黔北民居家家户户房前屋后干净整洁、绿荫葱葱，尽显宁静与惬意。,"生态环境保护,遵义市,生态环境"
给小学生回信写错字？浙江省文广旅厅厅长个人公众号发文回应,https://news.sina.com.cn/c/2025-05-23/doc-inexnyni4310455.shtml,2025-05-23 07:06:00,访亲问友，书面语该写成“作客”还是“做客”，或者可以通用？ 浙江省文化广电和旅游厅厅长陈广胜为此写了一篇近2000字的文章，5月22日夜间在个人公众号发布。,"“长官意志”,浙江省,小学生"
史无前例的“校园餐”反腐，来了,https://news.sina.com.cn/c/2025-05-23/doc-inexnyni4314996.shtml,2025-05-23 07:05:00,来源：中国新闻周刊 2025年春季开学，成都市温江区的中小学及幼儿园食堂有了新变化。 教职工窗口被撤下，取而代之的是统一就餐口；为了降低自主采购环节存在的腐败可能...,
中国科学家发现罕见掩食脉冲星,https://news.sina.com.cn/c/2025-05-23/doc-inexnpws9257263.shtml,2025-05-23 02:00:00,日前，中国科学院国家天文台韩金林研究员带领团队利用中国天眼FAST发现了一个罕见的毫秒脉冲星，与伴星以3.6小时的周期相互绕转，且有六分之一的时间被伴星遮挡（即,
“高校大市”变迁史：广州稳坐“第一城” 总量拐点何时至？,https://news.sina.com.cn/c/2025-05-23/doc-inexnpws6595963.shtml,2025-05-23 01:46:00,21世纪经济研究院研究员 陈洁 实习研究员 黎雨佳 2024年各个城市的高等教育数据陆续公布。 根据各地发布的2024年统计公报，27个万亿GDP城市中...,"郑州市,广州市"
万亿城市大手笔“抢人”，这次有点不一样,https://news.sina.com.cn/c/2025-05-23/doc-inexniqr4657330.shtml,2025-05-22 23:26:00,2024年末，泉州常住人口891.4万人，比2023年末增加3.1万人，人口总量保持全省首位。不过在全国万亿城市中，泉州人口增量并不出众。,"泉州市,厦门市"
现场视频公布 中国海警依法对菲非法闯入船只采取管控措施,https://news.sina.com.cn/c/2025-05-22/doc-inexniqu9369030.shtml,2025-05-22 23:19:00,5月21日，菲律宾3002、3003号公务船未经中国政府允许，非法闯入中国南沙渚碧礁、铁线礁附近海域，并组织人员非法登上铁线礁活动。,"中国海警,菲律宾"
何立峰：中国欢迎美资企业深化对华互利合作，推动中美经贸关系健康稳定持续发展,https://news.sina.com.cn/c/2025-05-22/doc-inexncht4771653.shtml,2025-05-22 22:29:00,中共中央政治局委员、国务院副总理何立峰22日晚在钓鱼台国宾馆会见美国摩根大通集团董事长兼首席执行官杰米·戴蒙。何立峰表示，近日中美经贸会谈取得实质性进展，为两国,
毛宁：中方强烈谴责巴基斯坦校车遇袭事件,https://news.sina.com.cn/c/2025-05-22/doc-inexncht4768541.shtml,2025-05-22 22:18:00,“外交部发言人办公室”消息，在5月22日外交部例行记者会上，《环球时报》记者提问：据报道，巴基斯坦西部俾路支省胡兹达尔地区5月21日发生一起针对校车的爆炸袭击事件...,"毛宁,中国,巴基斯坦"
文化中国行｜如果我写河南,https://news.sina.com.cn/c/2025-05-22/doc-inexnchw6819445.shtml,2025-05-22 22:06:00,大河之南 嵩岳巍巍 中原大地 沃野千里 宅兹中国 华夏之源 炎黄子孙 老家河南 《中国电视报》 “如果我写家乡”主题征文 带您探秘“宝藏”河南 “豫”见美好 河南...,
习言道丨到河南考察，习近平为何再提“洋火”,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexnchv1533969.shtml,2025-05-22 21:54:00,中新网5月21日电题：到河南考察，习近平为何再提“洋火”“我们坚持发展实业，从过去洋火、洋皂、洋铁等靠买进来，到现在成为工业门类最齐全的世界制造业第一大国，这条,
大学生体育课后坠入化粪池遇难，官方通报：校方负有严重的安全管理责任，分管副校长免职,https://news.sina.com.cn/c/2025-05-22/doc-inexnchv1530696.shtml,2025-05-22 21:35:00,5月22日，“重庆教育”微信公众号发布情况通报：2025年5月19日15:51，重庆对外经贸学院2024级学生张某上完体育课后，途经B校区篮球场附近便道旁草坪时,
玄戒O1、小米YU7等集中亮相，雷军：小米芯片要对标苹果,https://news.sina.com.cn/c/2025-05-22/doc-inexncht4750316.shtml,2025-05-22 21:14:00,红星资本局5月22日消息，小米15周年战略新品发布会举办，小米集团（01810.HK）董事长雷军回应了公司造芯片的原因。雷军表示，小米的芯片要对标苹果。,"小米,雷军,苹果"
雷军谈小米YU7定价：19万9是不可能的，将于今年7月正式上市,https://news.sina.com.cn/c/2025-05-22/doc-inexnchw9457899.shtml,2025-05-22 21:13:00,5月22日，小米15周年战略新品发布会上，小米集团董事长、CEO雷军发表演讲。发布会上，小米首款SUV车型小米YU7亮相，定位豪华高性能SUV。谈到定价，雷军表,
小米汽车：小米YU 7零百加速3.23s，最高时速253km/h,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy9582185.shtml,2025-05-22 20:53:00,5月22日，小米YU7发布，搭载小米超级电机V6sPlus，最大马力690PS。0-100km/h加速3.23s，最高时速253km/h，100-0km/h最短,
曾任反贪局局长的广东厅官王天鸿，被开除党籍！,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyv4872706.shtml,2025-05-22 20:49:00,来源：中国青年报 5月22日，广东省通报了一名检察系统厅官被开除党籍的情况。据广东省纪委监委消息：日前，经广东省委批准，广东省纪委监委对茂名市人民检察院原党组书记...,"珠海市,检察长,广东省"
“年度增长KPI”正从白酒企业年报消失？解码头部酒企年报“隐藏信号”,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy9579535.shtml,2025-05-22 20:38:00,◎近年来，白酒行业增速明显放缓，多家酒企纷纷调整策略，追求稳健发展。 ◎茅台将2025年营收增长目标定为9%，五粮液、泸州老窖等头部酒企则未明确提出具体增长目标...,"酒企,净利润,茅台"
中国驻欧盟使团发言人就欧盟第17轮对俄罗斯制裁列单中国企业事答记者问,https://news.sina.com.cn/o/2025-05-22/doc-inexmwyy9576878.shtml,2025-05-22 20:29:00,新京报讯 据中国驻欧盟使团消息，驻欧盟使团发言人就欧盟第17轮对俄罗斯制裁列单中国企业事答记者问。 问：日前，欧盟宣布在第17轮对俄罗斯制裁中将中国企业列入清单。,"欧盟,俄罗斯,中国"
小米汽车：小米汽车首款SUV小米YU 7发布,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyx1640750.shtml,2025-05-22 20:25:00,5月22日，小米集团董事长雷军在小米15周年战略新品发布会上宣布，小米YU7正式发布，定位“豪华高性能SUV”。,
习近平同法国总统马克龙通电话,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmwyv4860327.shtml,2025-05-22 20:06:00,新华社北京5月22日电 5月22日下午，国家主席习近平应约同法国总统马克龙通电话。习近平指出，去年5月我访问法国，双方一致同意弘扬独立自主、相互理解、高瞻远瞩、,
小米手表S4发布：搭载玄戒T1长续航4G手表芯片，售价1299元,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy6911770.shtml,2025-05-22 20:00:00,5月22日，小米WatchS4发布，搭载自研玄戒T1长续航4G手表芯片，集成小米自研4G基带。售价1299元。,
武汉发布暴雨临灾警报！武大校门被淹一米深,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy9569260.shtml,2025-05-22 19:54:00,澎湃新闻 综合报道 5月22日，武汉暴雨来袭。14时51分，武汉市气象台升级发布暴雨红色预警。15时50分，武汉市气象台发布城市暴雨临灾警报。,"武汉市,暴雨,气象台"
小米平板7 Ultra发布，售价5699元起,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy9563595.shtml,2025-05-22 19:41:00,5月22日，小米平板7Ultra发布，售价5699元起。首发搭载“玄戒O1”3nm旗舰处理器。,
小米15SPro售价5499元起,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyv4850635.shtml,2025-05-22 19:31:00,【#小米15SPro售价5499元起#】#小米15SPro售价#在今日的小米15周年战略新品发布会上，小米创办人、董事长、CEO@雷军发表演讲。#小米发布会#搭,
支持老年人社会参与 19部门首次联合发文明确目标,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyv4871739.shtml,2025-05-22 19:26:00,来源：央视网央视网消息：据民政部网站消息，为实施积极应对人口老龄化国家战略，支持老年人实现自我价值，更好为推进中国式现代化贡献“银发力量”，近日...,民政部
3750亿净投放！MLF连续三个月加量续作,https://news.sina.com.cn/o/2025-05-22/doc-inexmwyy9559207.shtml,2025-05-22 19:24:00,5月政府债供给节奏加快，而买断式逆回购到期规模9000亿元，MLF到期规模1250亿元。 降准之后，5月MLF（中期借贷便利）继续净投放，引发市场关注。,"MLF,流动性,逆回购"
广西党委书记陈刚撰文：决不能为了个人升迁，干不切实际、欺上瞒下的事,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyv4846569.shtml,2025-05-22 19:20:00,最新一期《党建研究》刊发了广西壮族自治区党委书记陈刚的署名文章，题为“以作风建设新成效奋力谱写中国式现代化广西篇章”。,"陈刚,广西"
一习话丨“实现生态环境保护和经济高质量发展双赢”,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmwyx1619218.shtml,2025-05-22 19:16:00,来源：央广网“生态文明是人类文明发展的历史趋势”“从保护自然中寻找发展机遇，实现生态环境保护和经济高质量发展双赢”……新时代以来，习近平主席就建设生态文明...,
学习进行时｜习近平总书记与“茶”的故事,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmwyv4843484.shtml,2025-05-22 19:12:00,【学习进行时】茶起源于中国，盛行于世界，既是全球同享的健康饮品，也是承载历史和文化的“中国名片”。习近平总书记高度重视茶产业发展和茶文化交流。5月21日是“国际,
一见·从总书记的考察足迹，看徙木立信、化风为俗,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmwyy9554407.shtml,2025-05-22 19:08:00,深入贯彻中央八项规定精神学习教育正在全党深入开展。5月20日，习近平总书记在河南考察调研时强调，要在一体推进学查改上下功夫，把党员干部个人查摆整改与组织查摆整改,
雷军：未来五年，小米研发投入预计达2000亿元,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyx1619067.shtml,2025-05-22 19:08:00,5月22日，小米15周年战略新品发布会上，小米集团董事长雷军宣布，未来五年（2026-2030）小米预计再投入2000亿元研发费用。,
贵州大方县果瓦乡山体滑坡初判致19人被困，电力中断仍在抢修,https://news.sina.com.cn/o/2025-05-22/doc-inexmwyv4841120.shtml,2025-05-22 19:05:00,新京报讯（记者赵敏 实习生张楠）5月22日9时许，贵州省大方县果瓦乡庆阳村发生一起山体滑坡。据央视新闻消息，当地有关部门初步摸排，有8户19人被困。,"山体滑坡,庆阳市,村民"
李泽钜：有财务实力，遇到风浪会较易顶得住、捱得起,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyx1614466.shtml,2025-05-22 18:59:00,“小心驶得万年船。”5月22日下午，长江实业集团有限公司（长实集团，01113.HK）主席李泽钜在2025年股东周年大会上回答关于对经济前景看法的问题时表示...,"李泽钜,物业,香港"
比亚迪4月欧洲纯电车销量首次击败特斯拉,https://news.sina.com.cn/c/2025-05-22/doc-inexmwyy6897544.shtml,2025-05-22 18:53:00,比亚迪在欧洲销售的电动汽车数量首次超过特斯拉，超越了这个长期主导欧洲电动汽车市场的美国品牌。根据市场研究公司JatoDynamics的数据，比亚迪4月新增电动汽,
习近平同法国总统马克龙通电话,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmwyx1612409.shtml,2025-05-22 18:52:00,5月22日下午，国家主席习近平应约同法国总统马克龙通电话。习近平指出，去年5月我访问法国，双方一致同意弘扬独立自主、相互理解、高瞻远瞩、互利共赢的中法建交精神...,
习近平同法国总统马克龙通电话,https://news.sina.com.cn/c/xl/2025-05-22/doc-inexmsta9674897.shtml,2025-05-22 18:32:00,5月22日下午，国家主席习近平应约同法国总统马克龙通电话。 习近平指出，去年5月我访问法国，双方一致同意弘扬独立自主、相互理解、高瞻远瞩、互利共赢的中法建交精神...,
今日辟谣（2025年5月22日）,https://news.sina.com.cn/o/2025-05-22/doc-inexmssz1730652.shtml,2025-05-22 18:13:00,2025年5月22日 辟 谣近日这些关于暴雨、极端天气的传言是假的 详情：近期，多地持续遭遇强降雨天气，汛情动态牵动社会各界目光。,减重
河南省市场监管局严查粽子等重点节日商品过度包装、价格违法行为,https://news.sina.com.cn/c/2025-05-22/doc-inexmssz1730919.shtml,2025-05-22 18:08:00,为提倡节俭、反对浪费，纠治重点节日商品过度包装、价格违法行为，近日，省市场监管局在全省部署开展2025年端午节过度包装和“天价”粽子治理工作。,"河南省,市场监管局"
暴雨黄色预警：安徽西南部、江西北部、浙江西南部、福建西北部等地部分地区有大暴雨,https://news.sina.com.cn/c/2025-05-22/doc-inexmsta9668993.shtml,2025-05-22 18:06:00,中央气象台5月22日18时继续发布暴雨黄色预警：预计，5月22日20时至23日20时，江淮大部、江汉东部、江南中东部和西南部、华南北部和西部、西南地区东南部等地,
台媒：台湾渔船遭菲律宾海巡登船临检并扣押，船长家属怒批台“渔业署”消极应对,https://news.sina.com.cn/c/2025-05-22/doc-inexmssx4953683.shtml,2025-05-22 18:04:00,[环球网报道]据台湾中时新闻网5月22日报道，台湾地区“升渔丰号”渔船19日凌晨无故被菲律宾公务船人员登船临检，船长陈宗顿更是被持枪挟持带回菲港口进行调查。,"船长,台媒,菲律宾"
天津增投8万个摇号指标,https://news.sina.com.cn/c/2025-05-22/doc-inexmssz1724702.shtml,2025-05-22 17:58:00,天津市人民政府办公厅日前印发《天津市进一步优化小客车调控管理的若干措施》，6月1日起施行。《若干措施》明确，在《天津市小客车总量调控管理办法》规定的每年10万个,
四川雅安官方通报核查进展，黄杨钿甜父亲被立案调查,https://news.sina.com.cn/c/2025-05-22/doc-inexmsta6999677.shtml,2025-05-22 17:44:00,#黄杨钿甜父亲被立案调查#【#官方通报黄杨钿甜父亲在雅情况核查进展#】近期，网络反映黄杨某甜“天价耳环”有关情况引发社会关注。雅安市成立由纪检监察、公安、市场监,
中国海警局新闻发言人就菲非法闯入渚碧礁、铁线礁附近海域发表谈话,https://news.sina.com.cn/c/2025-05-22/doc-inexmssx4940093.shtml,2025-05-22 17:30:00,【中国海警局新闻发言人就菲非法闯入渚碧礁、铁线礁附近海域发表谈话】中国海警局新闻发言人刘德军表示，5月21日，菲律宾3002、3003号公务船未经中国政府允许，,
高合汽车“复活”？破产重整后重启运营新公司，中东资本成关键推手,https://news.sina.com.cn/c/2025-05-22/doc-inexmsta9644881.shtml,2025-05-22 17:04:00,红星资本局5月22日消息，据天眼查，江苏高合汽车有限公司在5月22日成立，注册资本约1.43亿美元（约合人民币10.3亿元）。新公司位于江苏省盐城市...,华人运通
白银市会宁县委常委、宣传部部长王池柳接受纪律审查和监察调查,https://news.sina.com.cn/c/2025-05-22/doc-inexmssz1707352.shtml,2025-05-22 16:50:00,据白银市纪委监委消息：白银市会宁县委常委、宣传部部长王池柳涉嫌严重违纪违法，目前正接受白银市纪委监委纪律审查和监察调查。,"白银市,甘肃省"
神舟二十号航天员乘组圆满完成第一次出舱活动,https://news.sina.com.cn/c/2025-05-22/doc-inexmsta9635915.shtml,2025-05-22 16:48:00,神舟二十号航天员乘组圆满完成第一次出舱活动。©2025中央广播电视总台版权所有。未经许可，请勿转载使用。,
一定之规•党政机关厉行节约反对浪费条例 国内差旅和因公临时出国(境)有关规定,https://news.sina.com.cn/c/2025-05-22/doc-inexnchw9487922.shtml,2025-05-22 16:41:00,来源：中央纪委国家监委网站,
一定之规•党政机关厉行节约反对浪费条例 国内差旅和因公临时出国(境)有关规定,https://news.sina.com.cn/c/2025-05-22/doc-inexmssx4921764.shtml,2025-05-22 16:33:00,来源：中央纪委国家监委网站,
学习问答•加强党的作风建设⑭如何理解党的干部是人民的公仆？,https://news.sina.com.cn/c/2025-05-22/doc-inexmsta9633542.shtml,2025-05-22 16:31:00,来源：中央纪委国家监委网站,作风建设
金融监管总局：支持银行综合运用科技企业创新积分等多方面信息，提升科技型企业首贷率,https://news.sina.com.cn/c/2025-05-22/doc-inexmssz1690198.shtml,2025-05-22 16:29:00,5月22日，金融监管总局新闻发言人、政策研究司司长郭武平在国新办新闻发布会上表示，《加快构建科技金融体制 有力支撑高水平科技自立自强的若干政策举措》是七部门围绕科技...,"金融监管,银行,科技型企业"
全固态电池新标准出台 解决行业界定模糊、测试方法缺失等问题,https://news.sina.com.cn/c/2025-05-22/doc-inexmssx4936603.shtml,2025-05-22 16:27:00,今天（5月22日），中国汽车工程学会正式发布《全固态电池判定方法》团体标准，首次明确了全固态电池的定义，解决了行业界定模糊、测试方法缺失等问题...,
证监会严伯进：持续优化科技企业境内上市环境，支持优质红筹科技企业回归境内上市,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7096860.shtml,2025-05-22 16:18:00,证监会首席风险官、发行监管司司长严伯进5月22日在国新办新闻发布会上表示，证监会将持续优化科技企业境内上市的环境，会实施更加灵活精准的新股发行逆周期调节机制，把,
证监会：持续深化科创板、创业板发行上市制度改革,https://news.sina.com.cn/c/2025-05-22/doc-inexmnmc1816134.shtml,2025-05-22 16:15:00,中国证监会发行监管司司长严伯进5月22日在国新办发布会上说，持续深化科创板、创业板发行上市制度改革，进一步增强制度包容性、适应性。（新华社）,
证监会：稳妥实施科创板第五套上市标准,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme9751125.shtml,2025-05-22 16:14:00,中国证监会发行监管司司长严伯进5月22日在国新办发布会上说，用好用足现有制度，更大力度支持优质未盈利科技企业上市，积极稳妥实施科创板第五套上市标准，推动新的典型,
港股收评：恒生指数跌1.19%，恒生科技指数跌1.7%，消费股走弱,https://news.sina.com.cn/c/2025-05-22/doc-inexmnmc1816551.shtml,2025-05-22 16:12:00,5月22日，港股收盘，恒生指数跌1.19%，恒生科技指数跌1.70%。小鹏汽车涨超5%。百度集团跌超4%，阿里巴巴跌超3%，小米集团、宁德时代跌超2%。消费股领,
“买买买”爱上“河南造”，不得不说的吸金秘密→,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7096539.shtml,2025-05-22 16:12:00,“你爱我我爱你”熟悉的旋律带来好消息5月21日蜜雪集团市值突破2000亿港元“雪王”又一次登上热搜成了餐饮界“最靓的仔”河南简称“豫”豫的字面意思是“我牵着一头象”在当今消费江...,"河南省,泡泡玛特"
青海省人大常委会社会建设委员会原主任委员薛建华被“双开”：私藏、浏览有严重政治问题的网络文章,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme9749681.shtml,2025-05-22 16:01:00,中央纪委国家监委网站5月22日通报，据青海省纪委监委消息：经中共青海省委批准，青海省纪委监委对省人大常委会社会建设委员会原主任委员薛建华严重违纪违法问题进行了立,
甘肃省博物馆原馆长贾建威接受纪律审查和监察调查,https://news.sina.com.cn/c/2025-05-22/doc-inexmssx4924801.shtml,2025-05-22 16:00:00,甘肃省博物馆原馆长贾建威涉嫌严重违纪违法，目前正接受甘肃省纪委监委纪律审查和监察调查。贾建威简历贾建威，男，汉族，1964年7月出生，河北定州人，大学学历...,"甘肃省,纪检监察,河北省"
所罗门群岛总理重申奉行一个中国原则，外交部：高度赞赏,https://news.sina.com.cn/c/2025-05-22/doc-inexmnmc1804513.shtml,2025-05-22 15:53:00,5月22日，外交部发言人毛宁主持例行记者会。 有记者提问，据报道，所罗门群岛总理马内莱近期发表声明，重申所政府坚定奉行一个中国原则...,"所罗门群岛总理,外交部,毛宁"
学习问答•加强党的作风建设⑭如何理解党的干部是人民的公仆？,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme9746760.shtml,2025-05-22 15:49:00,来源：中央纪委国家监委网站,作风建设
美太空部队高官渲染中俄“威胁”，外交部：中国坚持和平利用外空,https://news.sina.com.cn/c/2025-05-22/doc-inexmnkz5024120.shtml,2025-05-22 15:43:00,5月22日，外交部发言人毛宁主持例行记者会。 有外媒提问，美国太空作战司令部司令萨尔茨曼近日表示，中国和俄罗斯军队率先发展的技术是美方外太空防御的最大威胁。,"外空,毛宁,中国"
今年1-4月超3400万名消费者参加家电产品以旧换新 带动销售1745亿元,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7087863.shtml,2025-05-22 15:38:00,来源：央视网央视网消息：2025年5月22日（星期四）下午，商务部举行新闻发布会，请新闻发言人介绍近期商务领域重点工作有关情况，并答记者问。,"商务部,消费者"
菲方称中国海警船“袭击”菲科考船，外交部回应,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7075902.shtml,2025-05-22 15:35:00,5月22日，外交部发言人毛宁主持例行记者会。 法新社记者提问，菲律宾方面今天表示，中国海警船在铁线礁附近使用水炮“袭击”了菲方的一艘科考船。请问中方对此有何评论？,"毛宁,中国,外交部"
外交部回应林佳龙有关言论：暴露出狂妄无知,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme9734040.shtml,2025-05-22 15:33:00,5月22日，外交部发言人毛宁主持例行记者会。 路透社记者提问，台湾外事部门负责人林佳龙昨日表示，“台湾可以自己决定是否是一个国家。”请问外交部对此有何回应？,"外交部,台湾省,林佳龙"
外交部回应巴基斯坦校车遭爆炸袭击,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7073197.shtml,2025-05-22 15:28:00,5月21日，巴基斯坦发生一起针对校车的爆炸袭击事件，造成至少5人死亡，包括3名儿童，另有38人受伤。对此，中国外交部发言人毛宁表示：中方注意到有关报道，对此次针,
陈文清将赴俄出席安全事务高级代表国际会议等并访问俄罗斯、匈牙利,https://news.sina.com.cn/c/2025-05-22/doc-inexmnmc1789496.shtml,2025-05-22 15:21:00,外交部网站22日消息，外交部发言人宣布： 中共中央政治局委员、中央政法委书记陈文清将于5月23日至29日应邀赴俄罗斯出席第十三届安全事务高级代表国际会议...,"陈文清,俄罗斯"
商务部再回应美国对人工智能芯片出口管制,https://news.sina.com.cn/o/2025-05-22/doc-inexmnme9726744.shtml,2025-05-22 15:18:00,据@日月谭天 消息，5月22日下午，商务部召开例行新闻发布会，有记者就美国对人工智能芯片出口管制一事提问。 商务部新闻发言人何咏前：中方已多次阐明立场。,"商务部,人工智能,美国"
铜陵铜官：用好“红黄牌”预警  切实提升集中整治工作质效,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7065980.shtml,2025-05-22 15:13:00,“请驻区教育局纪检监察组汇报一下专项整治工作推进情况、存在问题以及下一步如何改进。”近日，在铜陵市铜官区纪委常委会上，部分纪检监察组织作表态发言。,"铜陵市,纪检监察"
A股收评：北证50重挫逾6%，全市场超4400家个股飘绿，宠物经济等板块走弱,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7066327.shtml,2025-05-22 15:04:00,5月22日，A股三大指数集体调整，截至收盘，上证指数跌0.22%，深证成指跌0.72%，创业板指跌0.96%；北证50跌6.15%。两市成交额约11026.9亿,
凤阳鼓楼楼宇是违建？当地回应“有批文”,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme7066594.shtml,2025-05-22 15:01:00,来源：中国新闻周刊 安徽省文物局对相关复建方案做了正式批复 近日，安徽省滁州市凤阳县鼓楼楼宇顶部“瓦片脱落”事件持续受到舆论关注。,"鼓楼,安徽省,违建"
境外间谍盯上在校大学生，国安部披露详情,https://news.sina.com.cn/c/2025-05-22/doc-inexmnme9709418.shtml,2025-05-22 14:22:00,国家安全，离我们并不遥远。潜心求学的高校学子，在日常学习生活中，只要对威胁国家安全的可疑情况保持警惕，不断提升国家安全意识和素养...,在校大学生
